MANDT,BUKRS,BELNR,GJAHR,BUZEI,BUZID,AUGDT,AUGCP,AUGBL,BSCHL,KOART,UMSKZ,UMSKS,ZUMSK,SHKZG,GSBER,PARGB,MWSKZ,QSSKZ,DMBTR,WRBTR,TXBHW,TXBFW,MWSTS,WMWST,HWBAS,FWBAS,SHZUZ,MWART,TXGRP,KTOSL,BVTYP,QSSHB,VALUT,ZUONR,SGTXT,VBUND,BEWAR,VORGN,KOKRS,KOSTL,AUFNR,SAKNR,HKONT,KUNNR,LIFNR,XBILK,GVTYP,ZFBDT,ZTERM,ZBD1T,ZBD2T,ZBD3T,ZBD1P,ZBD2P,SKFBT,SKNTO,WSKTO,ZLSCH,ZLSPR,ZBFIX,MWSK2,DMBT3,WRBT3,LANDL,MSCHL,MANSP,MADAT,MANST,MABER,VPRSV,BWKEY,PRCTR,XHKOM,TXJCD,PROJK,DMBE2,DMBE3,MWST2,MWST3,SKNT2,SKNT3,HWMET,TXBH2,TXBH3,XREF1,XREF2,XREF3,KIDNO,TXDAT,PYAMT,BUPLA,SECCO,XOPVW,KKBER,STCEG,Unnamed: 96,Unnamed: 97,Unnamed: 98
800,RS03,1800003237,2025,2, ,,, ,50,S, , , ,H,SBAP, ,D§, ,1058685.6,1058685.6,0,0,0.0,0.0,0.0,0.0, , ,1, , ,0,,C001792 BEO-DRAGOS, , , ,RFBU,EURP,SBAP9998, , ,70111007, , , ,S,, ,0,0,0,0.0,0,0.0,0.0,0.0, , , , ,0,0, , , ,,0, , , , , , ,0,0,0,0,0,0,0, ,0,0, , , , ,,0, , , , , ,,,
800,RS03,1800003237,2025,3,T,,, ,50,S, , , ,H, , ,D§, ,211737.12,211737.12,0,0,0.0,0.0,1058685.6,1058685.6, ,A,1,MWS, ,0,,20251004, , , ,RFBU,EURP, , , ,43104800, , ,X, ,, ,0,0,0,0.0,0,0.0,0.0,0.0, , , , ,0,0, , , ,,0, , , , , , ,0,0,0,0,0,0,0, ,0,0, , , , ,,0, , , , , ,,,
800,RS03,1800003240,2025,1, ,,, ,1,D, , , ,S,SBAP, ,D§, ,1293127.92,1293127.92,0,0,215521.32,215521.32,0.0,0.0, , ,0, , ,0,, , , , ,RFBU,EURP, , ,41100000,41100000,171022, ,X, ,2025-10-04,6,60,0,0,0.0,0,1293127.92,0.0,0.0, , , , ,0,0, , , ,,0, , , , , , ,0,0,0,0,0,0,0, ,0,0, , , , ,,0, , ,X,SBAP, ,,,
800,RS03,1800003240,2025,2, ,,, ,50,S, , , ,H,SBAP, ,D§, ,1077606.6,1077606.6,0,0,0.0,0.0,0.0,0.0, , ,1, , ,0,,C001792 BEO-DRAGOS, , , ,RFBU,EURP,SBAP9998, , ,70111007, , , ,S,, ,0,0,0,0.0,0,0.0,0.0,0.0, , , , ,0,0, , , ,,0, , , , , , ,0,0,0,0,0,0,0, ,0,0, , , , ,,0, , , , , ,,,
800,RS03,1800003240,2025,3,T,,, ,50,S, , , ,H, , ,D§, ,215521.32,215521.32,0,0,0.0,0.0,1077606.6,1077606.6, ,A,1,MWS, ,0,,20251004, , , ,RFBU,EURP, , , ,43104800, , ,X, ,, ,0,0,0,0.0,0,0.0,0.0,0.0, , , , ,0,0, , , ,,0, , , , , , ,0,0,0,0,0,0,0, ,0,0, , , , ,,0, , , , , ,,,
800,RS03,1800003492,2025,1, ,,, ,1,D, , , ,S,SBAP, ,D§, ,821902.54,821902.54,0,0,136983.76,136983.76,0.0,0.0, , ,0, , ,0,, , , , ,RFBU,EURP, , ,41100000,41100000,251637, ,X, ,2025-10-25,6,60,0,0,0.0,0,821902.54,0.0,0.0, , , , ,0,0, , , ,,0, , , , , , ,0,0,0,0,0,0,0, ,0,0, , , , ,,0, , ,X,SBAP, ,,,
800,RS03,1800003492,2025,2, ,,, ,50,S, , , ,H,SBAP, ,D§, ,684918.78,684918.78,0,0,0.0,0.0,0.0,0.0, , ,1, , ,0,,C001641 KARTONVAL, , , ,RFBU,EURP,SBAP9998, , ,70111007, , , ,S,, ,0,0,0,0.0,0,0.0,0.0,0.0, , , , ,0,0, , , ,,0, , , , , , ,0,0,0,0,0,0,0, ,0,0, , , , ,,0, , , , , ,,,
800,RS03,1800003492,2025,3,T,,, ,50,S, , , ,H, , ,D§, ,136983.76,136983.76,0,0,0.0,0.0,684918.78,684918.78, ,A,1,MWS, ,0,,20251025, , , ,RFBU,EURP, , , ,43104800, , ,X, ,, ,0,0,0,0.0,0,0.0,0.0,0.0, , , , ,0,0, , , ,,0, , , , , , ,0,0,0,0,0,0,0, ,0,0, , , , ,,0, , , , , ,,,
800,RS03,1800003702,2025,1, ,,, ,1,D, , , ,S,SBAP, ,D§, ,1271669.93,1271669.93,0,0,211944.99,211944.99,0.0,0.0, , ,0, , ,0,, , , , ,RFBU,EURP, , ,41100000,41100000,171022, ,X, ,2025-11-13,6,60,0,0,0.0,0,1271669.93,0.0,0.0, , , , ,0,0, , , ,,0, , , , , , ,0,0,0,0,0,0,0, ,0,0, , , , ,,0, , ,X,SBAP, ,,,
800,RS03,1800003702,2025,2, ,,, ,50,S, , , ,H,SBAP, ,D§, ,1059724.94,1059724.94,0,0,0.0,0.0,0.0,0.0, , ,1, , ,0,,C001792 BEO-DRAGOS, , , ,RFBU,EURP,SBAP9998, , ,70111007, , , ,S,, ,0,0,0,0.0,0,0.0,0.0,0.0, , , , ,0,0, , , ,,0, , , , , , ,0,0,0,0,0,0,0, ,0,0, , , , ,,0, , , , , ,,,
